title,theme,status,workDate,endWorkDate,pubDate,mediumURL,liPubDate,linkedinURL,canonicalSite,blogURL,blogPath,cartoon,chatDate,draftPath,notes,altText,caption
Integration Reveals All: How Building File Analysis Exposed Hidden Architecture,building,published,2025-06-27,,2025-06-27,https://medium.com/building-piper-morgan/integration-reveals-all-how-building-file-analysis-exposed-hidden-architecture-3d696dbf2803,2025-08-08,https://www.linkedin.com/pulse/integration-reveals-all-how-building-file-analysis-exposed-crumlish-ep9kc/,distributed,,,,,,
Building for Learning,building,published,2025-06-27,,,,2025-08-15,,distributed,,,,,,missing Medium URL in source data
REPLACE with Overconfidence post: The Great Git Directory Massacre (And Other Cautionary Tales),insight,published,2025-06-27,,2025-06-30,https://medium.com/building-piper-morgan/the-great-git-directory-massacre-and-other-cautionary-tales-a143610ce7f9,2025-01-01,,distributed,,,,,,
The PM Who Automated Himself (Or at Least Tried To),building,published,2025-05-28,,2025-07-01,https://medium.com/building-piper-morgan/the-pm-who-automated-himself-or-at-least-tried-to-b1d8c2dd5f40,2025-07-02,https://www.linkedin.com/pulse/pm-who-automated-himself-least-tried-christian-crumlish-epumc,distributed,,,,,,
The Demo That Killed the Prototype,insight,published,2025-05-29,,2025-07-01,https://medium.com/building-piper-morgan/the-demo-that-killed-the-prototype-f0aad9fa3a4a,2025-07-02,https://www.linkedin.com/pulse/demo-killed-prototype-christian-crumlish-znsnc,distributed,,,,,,
The Great Rebuild: Starting Over When Starting Over Is the Only Option,insight,published,2025-05-29,,2025-07-02,https://medium.com/building-piper-morgan/the-great-rebuild-starting-over-when-starting-over-is-the-only-option-b75918602942,2025-07-03,https://www.linkedin.com/pulse/great-rebuild-starting-over-when-only-option-christian-crumlish-cdw9c,distributed,,,,,,
The Learning Infrastructure Gambit,building,published,2025-06-03,,2025-07-03,https://medium.com/building-piper-morgan/the-learning-infrastructure-gambit-aab04037831e,2025-07-04,https://www.linkedin.com/pulse/learning-infrastructure-gambit-christian-crumlish-lip3c,distributed,,,,,,
Knowledge Hierarchies and Dependency Hell,building,published,2025-06-04,,2025-07-04,https://medium.com/building-piper-morgan/knowledge-hierarchies-and-dependency-hell-4734f6e9f442?source=user_profile_page---------4-------------7f4f3524879----------------------,2025-07-05,https://www.linkedin.com/pulse/knowledge-hierarchies-dependency-hell-christian-crumlish-2tffc,distributed,,,,,,
From Scaffolding to Flight: Before the Training Wheels Come Off,building,published,2025-06-05,,2025-07-05,https://medium.com/building-piper-morgan/from-scaffolding-to-flight-before-the-training-wheels-come-off-a858bf183c21,2025-07-06,https://www.linkedin.com/pulse/from-scaffolding-flight-before-training-wheels-come-off-crumlish-nwkzc,distributed,,,,,,
Taking Stock: The Value of Pausing to Document and Plan,insight,published,2025-06-06,,2025-07-06,https://medium.com/building-piper-morgan/taking-stock-the-value-of-pausing-to-document-and-plan-da41a68cd59b,2025-07-07,https://www.linkedin.com/pulse/taking-stock-value-pausing-document-plan-christian-crumlish-ghq4c,distributed,,,,,,
"Bidirectional Intelligence: Teaching AI to Critique, Not Just Create",building,published,2025-06-09,,2025-07-07,https://mediajunkie.medium.com/bidirectional-intelligence-teaching-ai-to-critique-not-just-create-b5bb0c2c9384,2025-07-08,https://www.linkedin.com/pulse/bidirectional-intelligence-teaching-ai-critique-christian-crumlish-jgcwc,distributed,,,,,,
The RAG Revelation: When Your Prototype Answers Back,building,published,2025-05-29,,2025-07-08,https://medium.com/building-piper-morgan/the-rag-revelation-when-your-proof-of-concept-answers-back-cc7f4b96b621,2025-07-09,https://www.linkedin.com/pulse/rag-revelation-when-your-proof-concept-answers-back-crumlish-udcec/,distributed,,,,,,
From Research Question to Working Prototype: Building an AI PM Assistant from Scratch,building,published,2025-05-29,,2025-07-09,https://medium.com/building-piper-morgan/from-research-question-to-working-prototype-building-an-ai-pm-assistant-from-scratch-bb06005611cb,2025-07-10,https://www.linkedin.com/pulse/from-research-question-working-prototype-building-ai-pm-crumlish-fixac/,distributed,,,,,,
From CLI to GitHub Integration: When Prototypes Meet Real Workflows,building,published,2025-05-29,,2025-07-10,https://medium.com/building-piper-morgan/from-cli-to-web-app-when-prototypes-meet-real-workflows-c7207687f711,2025-07-11,https://www.linkedin.com/pulse/from-command-line-web-app-when-prototypes-meet-real-crumlish-prsgc/,distributed,,,,,,
The $0 Bootstrap Stack: Building Enterprise Infrastructure for Free (With Upgrade Paths),building,published,2025-06-01,,2025-07-11,https://medium.com/building-piper-morgan/the-0-bootstrap-stack-building-enterprise-infrastructure-for-free-with-upgrade-paths-078e056a87e4,2025-07-14,https://www.linkedin.com/pulse/0-bootstrap-stack-building-enterprise-infrastructure-free-crumlish-1hgzc/,distributed,,,,,,
Domain-First Development: Actually Building What We Designed,building,published,2025-06-02,,2025-07-11,https://medium.com/building-piper-morgan/domain-first-development-actually-building-what-we-designed-647704d46558,2025-07-16,https://www.linkedin.com/pulse/domain-first-development-actually-building-what-we-christian-crumlish-1meic/,distributed,,,,,,
The Architectural Reckoning: When Three Experts Agree You Should Start Over,insight,published,2025-05-29,,2025-07-11,https://medium.com/building-piper-morgan/the-architectural-reckoning-when-three-experts-agree-you-should-start-over-1f9581a41633,2025-07-12,https://www.linkedin.com/pulse/architectural-reckoning-when-three-experts-agree-you-should-crumlish-hoyoc/,distributed,,,,,,
From Task Executor to Problem Solver (comes befofe Domain-First Dev),building,published,2025-06-02,,2025-07-12,https://medium.com/building-piper-morgan/from-task-executor-to-problem-solver-13896a87b7a9,2025-07-15,https://www.linkedin.com/pulse/from-task-executor-problem-solver-christian-crumlish-yha5c/,distributed,,,,,,
The Question That Started Everything,insight,published,2025-05-27,,2025-07-13,https://medium.com/building-piper-morgan/the-question-that-started-everything-5a69f9a2af0b,2025-07-13,https://www.linkedin.com/pulse/question-started-everything-christian-crumlish-18dwc/,distributed,,,,,,
Building AI That Actually Thinks About Product Work,building,published,2025-06-02,,2025-07-14,https://medium.com/building-piper-morgan/building-ai-that-actually-thinks-about-product-work-4c04e304a3a7,2025-07-17,https://www.linkedin.com/pulse/building-ai-actually-thinks-product-work-christian-crumlish-qxg4c/,distributed,,,,,,
Persistence of Memory: AI Can't Learn without It,building,published,2025-06-02,,2025-07-15,https://medium.com/building-piper-morgan/persistence-of-memory-ai-cant-learn-without-it-d9f839597278,2025-07-18,https://www.linkedin.com/pulse/persistence-memory-ai-cant-learn-without-christian-crumlish-3rsle/,distributed,,,,,,
Modeling What PMs Do for Piper,building,published,2025-06-07,,2025-07-16,https://medium.com/building-piper-morgan/modeling-what-pms-do-for-piper-f6d7fac93e1f,2025-07-19,https://www.linkedin.com/pulse/modeling-what-pms-do-piper-christian-crumlish-msiec/,distributed,,,,,,
Small Scripts Win: Building Knowledge That Actually Knows Things,building,published,2025-06-08,,2025-07-17,https://medium.com/building-piper-morgan/small-scripts-win-building-knowledge-that-actually-knows-things-360bd682551e,2025-07-21,https://www.linkedin.com/pulse/small-scripts-win-building-knowledge-actually-knows-things-crumlish-s9e0c/,distributed,,,,,,
From Architecture Drift to Working AI,building,published,2025-06-15,,2025-07-18,https://medium.com/building-piper-morgan/from-architecture-drift-to-working-ai-201f17c5cfbf,2025-07-22,https://www.linkedin.com/pulse/from-architecture-drift-working-ai-christian-crumlish-shdaf/,distributed,,,,,,
7/16 to 7/18: The Cascade Effect: How Testing the UI Led to Architectural Discoveries,building,published,2025-06-23,,2025-07-19,https://medium.com/building-piper-morgan/the-cascade-effect-how-testing-the-ui-led-to-architectural-discoveries-0b19d8a13665,2025-07-30,https://www.linkedin.com/pulse/cascade-effect-how-testing-ui-led-architectural-christian-crumlish-bzzuc,distributed,,,,,,
